collection_date,collection_week,player_id,player_name,player_name_kr,birth_date,age,nationality,height,preferred_foot,shirt_number,position,team,team_id,league,league_id,season,market_value,contract_end,is_injured,injury_status,fotmob_url,matches,matches_per90,matches_percentile,started,started_per90,started_percentile,minutes_played,minutes_played_per90,minutes_played_percentile,goals,goals_per90,goals_percentile,assists,assists_per90,assists_percentile,rating,rating_per90,rating_percentile,attack_goals,attack_expected_goals,attack_xg_difference,attack_non_penalty_xg,attack_shots,attack_shots_on_target,attack_shooting_accuracy,attack_conversion_rate,attack_big_chances_missed,attack_dribbles_succeeded,attack_dribble_success_rate,attack_touches_in_box,passing_assists,passing_expected_assists,passing_xa_difference,passing_key_passes,passing_chances_created,passing_successful_passes,passing_pass_accuracy,passing_long_balls_accurate,passing_long_ball_accuracy,passing_crosses_accurate,passing_cross_accuracy,possession_touches,possession_touches_in_box,possession_dispossessed,possession_fouls_won,possession_penalty_won,defense_tackles,defense_tackles_successful,defense_tackle_success_rate,defense_interceptions,defense_clearances,defense_blocked_shots,defense_duels_won,defense_duel_success_rate,defense_ground_duels_won,defense_ground_duel_success_rate,defense_aerials_won,defense_aerial_success_rate,defense_recoveries,defense_dribbled_past,defense_fouls_committed,discipline_yellow_cards,discipline_red_cards,discipline_fouls_committed,discipline_fouls_won,shot_total_shots,shot_goals,shot_on_target,shot_blocked,shot_off_target,shot_left_foot,shot_right_foot,shot_headed,shot_open_play,shot_free_kick,shot_penalty,shot_total_xg,shot_preferred_foot_ratio,shot_quality
2025-11-19T08:44:39.515Z,2025-11-19,949673,Woo-Yeong Jeong,,1999-09-20T00:00:00.000Z,26,South Korea,179 cm,Right,,Attacking Midfielder,Union Berlin,8149,Bundesliga,54,2025/2026,€2.3M,,No,,https://www.fotmob.com/players/949673,8,8,35.44,1,1,0,161,90,7.59,0,0,0,0,0,0,6.24,6.24,6.33,0,0.35,-0.35,0.35,4,1,0,0,0,2,66.7,4,0,0.39,-0.39,0,3,42,76.4,0,0,3,30,93,4,2,5,0,3,0,0,0,0,0,13,50,0,0,3,33.3,9,2,3,0,0,3,5,4,0,4,0,0,1,1,0,2,0,0,0.31,25,0.078
2025-11-19T08:44:46.339Z,2025-11-19,1613077,Do-Young Yoon,,2006-10-28T00:00:00.000Z,19,South Korea,172 cm,,,Right Winger,Excelsior,10218,Eredivisie,57,2025/2026,€1.3M,,No,,https://www.fotmob.com/players/1613077,5,5,23.06,0,0,0,88,90,19.06,1,1.02,60,0,0,0,6.46,6.46,33.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,0,0,2,0,0,2,0,0,1.03,40,0.207
2025-11-19T08:44:54.070Z,2025-11-19,1656881,Park Seung-Soo,,2007-03-17T00:00:00.000Z,18,Korea Republic,183 cm,,,Left Winger,Newcastle United U21,860798,Premier League 2,9084,2025/2026,€200K,,No,,https://www.fotmob.com/players/1656881,6,6,46.53,5,5,57.64,416,90,59.72,0,0,0,0,0,0,6.67,6.67,32.64,0,0,0,0,5,2,0,0,0,7,43.8,14,0,0,0,0,2,120,85.7,3,75,1,9.1,220,14,5,8,0,8,0,0,2,0,0,24,47.1,0,0,1,33.3,20,6,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-19T08:45:01.979Z,2025-11-19,1107283,Ji-Sung Eom,,2002-05-09T00:00:00.000Z,23,South Korea,174 cm,Right,,Left Winger,Swansea City,10003,Championship,48,2025/2026,€1.7M,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1107283,14,14,79.13,7,7,53.04,603,90,60.87,1,0.15,40,1,0.15,50.43,6.61,6.61,45.22,1,0.41,0.59,0.41,11,6,0,9.09,0,8,57.1,21,1,1.32,-0.32,0,11,137,80.6,9,56.2,9,22,332,21,11,13,0,11,0,0,5,0,1,45,50.6,0,0,13,46.4,18,1,12,0,0,12,13,11,1,11,0,0,0,8,1,9,2,0,0.41,72.73,0.037
2025-11-19T08:45:08.717Z,2025-11-19,1232253,Han-Beom Lee,,2002-06-17T00:00:00.000Z,23,South Korea,188 cm,Right,,Center Back,FC Midtjylland,8113,Superligaen,46,2025/2026,€1.2M,2027-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1232253,12,12,41.86,11,11,46.51,1009,90,58.14,0,0,0,1,0.09,100,7.02,7.02,69.77,0,0.29,-0.29,0.29,4,0,0,0,0,0,0,23,1,0.93,0.07,0,4,551,86.8,37,53.6,2,66.7,786,23,3,6,0,15,0,0,14,0,7,62,62.6,0,0,42,68.9,36,4,10,1,0,10,6,4,0,4,0,0,0,0,4,0,0,0,0.29,0,0.073
2025-11-19T08:45:17.403Z,2025-11-19,1107251,Tae-Seok Lee,,2002-07-28T00:00:00.000Z,23,South Korea,174 cm,Left,,Left Back,Austria Wien,10011,Bundesliga,38,2025/2026,€1.1M,2029-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1107251,12,12,72.73,11,11,69.09,1023,90,85.45,1,0.09,70.91,0,0,0,7.32,7.32,87.27,1,1.24,-0.24,1.24,18,5,0,5.56,0,10,58.8,17,0,0.99,-0.99,0,13,289,67.8,32,36,9,16.1,767,17,2,6,0,25,0,0,15,0,3,53,56.4,0,0,12,60,52,9,15,3,0,15,6,18,1,18,0,0,9,0,2,10,1,0,1.29,50,0.072
2025-11-19T08:45:26.264Z,2025-11-19,1328820,Hyun-Ju Lee,,2003-02-07T00:00:00.000Z,22,South Korea,169 cm,Right,,Attacking Midfielder,Arouca,158085,Liga Portugal,61,2025/2026,€1.6M,,No,,https://www.fotmob.com/players/1328820,9,9,52.38,7,7,64.29,624,90,75,0,0,0,2,0.29,73.81,6.57,6.57,34.52,0,0.86,-0.86,0.86,11,2,0,0,0,8,47.1,15,2,0.49,1.51,0,4,179,89.5,5,71.4,2,33.3,304,15,11,20,0,6,0,0,0,0,0,37,49.3,0,0,3,33.3,24,5,7,1,0,7,20,11,0,11,0,0,2,8,0,10,0,0,0.86,72.73,0.078
2025-11-19T08:45:34.536Z,2025-11-19,1341538,Ji-Soo Kim,,2004-12-24T00:00:00.000Z,20,South Korea,189 cm,Both,,Center Back,Kaiserslautern,8350,2. Bundesliga,146,2025/2026,€1.5M,2027-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1341538,10,10,51.76,8,8,51.76,693,90,56.47,0,0,0,0,0,0,6.66,6.66,28.24,0,0.08,-0.08,0.08,1,0,0,0,0,1,100,6,0,0.05,-0.05,0,0,276,83.1,15,39.5,0,0,447,6,3,2,0,3,0,0,9,0,6,25,53.2,0,0,19,70.4,27,1,10,1,0,10,2,1,0,1,0,0,0,0,0,0,1,0,0.08,0,0.083
2025-11-19T08:45:40.779Z,2025-11-19,1238478,Young-Jun Lee,,2003-05-23T00:00:00.000Z,22,South Korea,,,,Striker,Grasshopper,9956,Super League,69,2025/2026,€991K,2028-06-30T00:00:00.000Z,Yes,Knock,https://www.fotmob.com/players/1238478,4,4,5.26,2,2,13.16,156,90,7.89,1,0.58,21.05,1,0.58,57.89,6.84,6.84,55.26,1,0.89,0.11,0.1,3,2,0,33.33,0,1,25,9,1,0.14,0.86,0,4,33,67.3,1,33.3,0,0,82,9,1,4,0,0,0,0,0,0,0,14,41.2,0,0,9,39.1,9,0,2,0,0,2,4,3,1,3,0,0,1,1,0,2,0,1,0.89,33.33,0.295
2025-11-19T08:45:48.042Z,2025-11-19,1136002,Young-Joon Goh,,2001-07-09T00:00:00.000Z,24,South Korea,169 cm,Right,,midfielder,Górnik Zabrze,8020,Ekstraklasa,196,2025/2026,€371.6K,2028-06-30T00:00:00.000Z,No,,https://www.fotmob.com/players/1136002,6,6,11.83,1,1,0,167,90,7.53,0,0,0,2,1.08,76.34,6.67,6.67,32.26,0,0,0,0,0,0,0,0,0,2,66.7,1,2,0.14,1.86,0,6,40,90.9,1,100,1,100,69,1,3,4,0,2,0,0,0,0,0,9,45,0,0,1,33.3,5,1,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11-19T08:45:56.705Z,2025-11-19,1388929,Kim Yong-Hak,,2003-05-20T00:00:00.000Z,22,Korea Republic,172 cm,,,forward,Portimonense,9765,Liga Portugal 2,185,2024/2025,€450K,,No,,https://www.fotmob.com/players/1388929,0,0,0,0,0,0,55,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
